-33.512774,-70.719694,Av. Vespucio N° 1501 Loc. C
-33.488637,-70.700951,Av. Pedro Aguirre Cerda Nº 5500
-33.493415,-70.7049,Av. Pedro Aguirre Cerda 6049
-33.488655,-70.700909,Av. Pedro Aguirre Cerda 5500
-33.515279,-70.717155,Av. Americo Vespucio Sur 1501
-33.629771,-70.761526,Calera De Tango N° 345,
-33.725268,-70.741313,Jose Joaquin Perez 302
-33.73287,-70.739747,Supermercado Buin
-33.453751,-70.604671,Av. Irarrazaval 2525
-33.46886,-70.575596,Av. Grecia 5632-34
-33.444549,-70.599178,Av. General Jose Artigas N° 2851-95 Loc. 02
-33.448971,-70.598019,Av. Chile España 597
-33.446053,-70.611237,Av. Antonio Varas 2108
-33.421789,-70.580338,Av. Americo Vespucio Sur  925
-33.491035,-70.775817,Ingeniero Dominguez N° 666
-33.580392,-70.828195,Camino Melipilla N° 9978
-33.550891,-70.791803,Camino A Melipilla N° 18400
-33.538229,-70.773435,Camino A Melipilla 16860
-33.565482,-70.789743,Calle Arturo Prat 851 A
-33.51612,-70.766676,Caletera Americo Vespucio N° 51. Loc. 126-127
-33.509876,-70.772448,Av. Ramon Freire 5100
-33.50993,-70.778006,Av. Ramon Freire 1924
-33.558598,-70.788094,Av. Parque Central 
-33.483608,-70.746549,Av. Pajaritos Nº 3333
-33.4835,-70.746377,Av. Pajaritos N° 5200.Paradero 9
-33.4835,-70.746399,Av. Pajaritos N° 2664
-33.483429,-70.74657,Av. Pajaritos N° 2100
-33.483465,-70.746463,Av. Pajaritos N° 1948 Piso 2
-33.483626,-70.74642,Av. Pajaritos
-33.483429,-70.746549,Av. Pajaritos 4444
-33.483483,-70.746549,Av. Pajaritos 2222
-33.510252,-70.75805,Av. 5 De Abril 81
-33.483447,-70.746463,Av . Pajaritos Nº 1912
-33.485576,-70.751549,Americo Vespucio N° 1001
-33.519948,-70.755497,Alberto Llona 777
-33.51027,-70.759638,5 De Abril 180
-33.510198,-70.757964,05 De Abril N° 70
-33.443886,-70.722967,San Pablo N° 6183
-33.443922,-70.724147,Av. San Pablo N 6256
-33.533471,-70.699557,Av. Lo Espejo N° 2700
-33.354638,-70.53208,Santa Blanca 1996
-33.355427,-70.518497,Los Cactus 1947
-33.351089,-70.510558,El Rodeo 13442
-33.357739,-70.508047,Cuatro Vientos N° 13660
-33.359728,-70.516458,Av. La Dehesa
-33.359585,-70.516394,Av. La Dehesa N° 1445
-33.352165,-70.51869,Av. La Dehesa 2035, Local 1 Y 1A
-33.352111,-70.518797,Av. La Dehesa 2035
-33.355821,-70.517252,Av. La Dehesa  N° 1751
-33.408803,-70.564207,Av. Camino Los Trapenses N° 3515
-33.414356,-70.565554,Martin De Zamora 6089
-33.408033,-70.551906,Tomas Moro N° 20
-33.41441,-70.600379,San Sebastian N° 2910
-33.403071,-70.508669,San Carlos De Apoquindo 2200
-33.403913,-70.573085,Rosario Norte N° 555
-33.408678,-70.544439,Patagonia N° 19
-33.435112,-70.537208,Padre Hurtado N° 1621
-33.407424,-70.544868,Metro Los Dominicos Loc. 4
-33.424099,-70.592762,Martin De Zamora N° 2911
-33.388704,-70.574548,Manquehue Norte 330
-33.412619,-70.583428,Los Militares N° 4500
-33.383382,-70.530213,Lo Fontecilla
-33.383382,-70.530256,Lo Fontecilla N° 441
-33.35238,-70.518669,La Dehesa 
-33.388453,-70.54534,Kennedy
-33.388274,-70.545362,Kennedy N° 9001
-33.413604,-70.593449,Isidora Goyenechea N° 3621
-33.415717,-70.591925,Gertrudis Echeñique 49
-33.413174,-70.581818,Evaristo Lillo N° 29
-33.415896,-70.596238,El Regidor N° 54
-33.421699,-70.598405,El Bosque 190
-33.414732,-70.601259,El Bosque  Norte
-33.403465,-70.579587,Cerro Colorado N° 5240
-33.401101,-70.523303,Camino El Alba 11101
-33.409932,-70.576433,Calle La Gloria N° 32
-33.405024,-70.577634,Av. Presidente Riesco N° 5296
-33.391964,-70.554202,Av. Presidente Kennedy
-33.433053,-70.538045,Av. Padre Hurtado N° 2650
-33.393684,-70.545684,Av. Padre Hurtado  40
-33.423956,-70.564352,Av. Manquehue Sur 1567
-33.417078,-70.5527,Av. Los Dominicos N° 7554
